,LAchildID,CINdetailsID,CINreferralDate,ReferralSource,PrimaryNeedCode,CINclosureDate,ReasonForClosure,DateOfInitialCPC,ReferralNFA
326,RND000988528161,1,12/12/2017,3F,N0,25/01/2022,RC3,17/02/2018,FALSE
327,RND000633574605,1,19/05/2022,3B,N7,,,07/07/2022,FALSE
328,RND000601217495,1,30/12/2017,1C,N3,,,17/03/2018,FALSE
329,RND000395971226,1,26/04/2019,1C,N7,27/06/2019,RC7,14/06/2019,FALSE
330,RND000764942242,1,03/03/2020,1A,N9,21/02/2021,RC4,23/05/2020,FALSE
331,RND000270083202,1,18/12/2021,9,N3,17/06/2022,RC1,13/02/2022,FALSE
332,RND000525331076,1,09/07/2012,3B,N9,01/03/2018,RC8,23/09/2012,FALSE
333,RND000232449630,1,27/11/2016,10,N1,28/07/2017,RC4,12/02/2017,FALSE
334,RND000855610093,1,19/03/2018,1D,N2,,,23/04/2018,TRUE
335,RND000417226558,1,12/11/2009,9,N5,18/08/2011,RC4,25/12/2009,TRUE
336,RND000417226558,2,16/09/2013,3C,N4,24/07/2014,RC3,11/11/2013,TRUE
337,RND000417226558,3,15/09/2015,3B,N7,11/01/2019,RC6,30/11/2015,TRUE
338,RND000467402615,1,22/01/2013,3A,N3,01/12/2017,RC4,02/04/2013,TRUE
339,RND000467402615,2,22/11/2020,10,N7,27/03/2021,RC2,30/12/2020,TRUE
340,RND000925289696,1,19/10/2010,5C,N8,22/05/2011,RC4,14/12/2010,TRUE
341,RND000717143281,1,15/07/2022,3E,N3,19/07/2022,RC7,,TRUE
342,RND000293974396,1,25/04/2010,3B,N1,,,,TRUE
343,RND000933891583,1,14/01/2012,6,N4,,,,TRUE
344,RND000538208887,1,22/12/2021,9,N0,,,21/01/2022,TRUE
345,RND000762061780,1,05/06/2010,3D,N8,18/02/2011,RC8,04/07/2010,TRUE
346,RND000717527854,1,12/10/2019,6,N8,,,23/11/2019,TRUE
347,RND000172187785,1,09/05/2019,1A,N7,,,16/07/2019,TRUE
348,RND000176823121,1,18/04/2010,1C,N8,19/07/2010,RC2,23/06/2010,TRUE
349,RND000067191282,1,03/11/2017,2A,N7,29/05/2019,RC7,29/12/2017,TRUE
350,RND000869227426,1,27/05/2015,2B,N8,04/01/2017,RC1,29/05/2015,TRUE
351,RND000477859528,1,28/09/2021,4,N0,,,19/12/2021,TRUE
352,RND000331302801,1,22/02/2022,5B,N6,06/05/2022,RC4,29/04/2022,TRUE
353,RND000865078282,1,24/08/2011,1B,N6,20/01/2013,RC6,11/09/2011,TRUE
354,RND000065522212,1,16/10/2011,10,N4,07/12/2011,RC6,19/11/2011,TRUE
355,RND000063109587,1,17/02/2008,3C,N0,25/10/2010,RC4,03/03/2008,TRUE
356,RND000600359465,1,11/10/2019,5A,N2,14/03/2020,RC6,17/12/2019,TRUE
357,RND000917307767,1,24/03/2028,1D,N4,28/02/2031,RC8,18/06/2028,TRUE
358,RND000025471257,1,04/09/2015,1A,N7,13/09/2019,RC7,13/10/2015,TRUE
359,RND000744971263,1,12/05/2010,5C,N0,11/06/2011,RC4,28/07/2010,TRUE
360,RND000477872747,1,19/01/2012,2A,N6,28/06/2017,RC1,01/02/2012,TRUE
361,RND000477872747,2,19/06/2022,2A,N7,,,03/07/2022,TRUE
362,RND000041586635,1,14/02/2014,5C,N3,24/06/2020,RC3,20/04/2014,TRUE
363,RND000665105354,1,19/06/2020,1C,N3,27/02/2021,RC3,31/08/2020,TRUE
364,RND000665105354,2,27/12/2021,1A,N8,30/04/2022,RC4,26/02/2022,TRUE
365,RND000969849036,1,21/03/2021,5C,N1,,,02/04/2021,TRUE
366,RND000942649071,1,28/02/2019,5C,N6,07/04/2022,RC3,10/03/2019,TRUE
367,RND000804026703,1,03/01/2017,1A,N7,,,11/02/2017,TRUE
368,RND000059988119,1,02/10/2016,5A,N9,09/06/2017,RC5,14/12/2016,TRUE
369,RND000288559211,1,03/02/2022,2A,N8,,,20/04/2022,TRUE
370,RND000379334938,1,16/02/2021,1C,N8,24/05/2021,RC2,06/03/2021,TRUE
371,RND000399050111,1,02/12/2008,10,N8,10/03/2012,RC4,12/12/2008,TRUE
372,RND000978319657,1,18/08/2009,8,N9,09/04/2011,RC3,04/09/2009,TRUE
373,RND000605823944,1,16/05/2019,5C,N9,,,17/05/2019,TRUE
374,RND000549292021,1,03/06/2016,1A,N0,17/05/2017,RC5,21/08/2016,TRUE
375,RND000549292021,2,20/06/2017,7,N9,,,,TRUE
376,RND000243027983,1,23/04/2022,3E,N0,,,08/06/2022,TRUE
377,RND000025120001,1,14/10/2013,1C,N5,22/06/2014,RC7,22/12/2013,TRUE
378,RND000010737787,1,01/09/2019,5C,N5,30/01/2021,RC8,15/11/2019,TRUE
379,RND000683862055,1,04/09/2010,1C,N7,15/10/2011,RC7,23/09/2010,TRUE
380,RND000683862055,2,08/09/2014,3D,N1,24/11/2015,RC7,03/12/2014,TRUE
381,RND000447509377,1,04/07/2022,2B,N6,,,14/07/2022,TRUE
382,RND000173481291,1,03/05/2020,2B,N1,13/03/2021,RC2,20/05/2020,TRUE
383,RND000443908625,1,15/12/2015,1A,N7,07/06/2022,RC8,25/01/2016,TRUE
384,RND000443908625,2,22/06/2022,5C,N9,,,25/06/2022,TRUE
385,RND000166589424,1,12/07/2019,3A,N7,,,,TRUE
386,RND000368580327,1,22/07/2021,5C,N8,19/05/2022,RC5,05/08/2021,TRUE
387,RND000368580327,2,02/06/2022,1B,N3,,,20/06/2022,TRUE
388,RND000498746591,1,30/12/2008,3C,N2,16/09/2009,RC2,26/01/2009,TRUE
389,RND000044483554,1,03/04/2021,3E,N2,15/06/2021,RC8,17/05/2021,TRUE
390,RND000110305262,1,22/06/2022,2B,N8,,,,TRUE
391,RND000174662411,1,21/10/2007,3D,N6,01/12/2007,RC8,03/11/2007,TRUE
392,RND000033895249,1,15/05/2008,5B,N8,23/12/2012,RC6,05/08/2008,TRUE
393,RND000112711501,1,27/04/2014,5C,N0,13/03/2015,RC8,25/07/2014,TRUE
394,RND000112711501,2,08/07/2015,2A,N9,17/01/2016,RC1,22/08/2015,TRUE
395,RND000112711501,3,08/08/2016,2B,N0,,,11/08/2016,TRUE
396,RND000513120794,1,08/07/2021,3A,N8,,,27/08/2021,TRUE
397,RND000541643134,1,29/03/2022,1C,N5,04/04/2022,RC2,,TRUE
398,RND000404939452,1,06/02/2019,1A,N6,25/11/2021,RC7,05/03/2019,TRUE
399,RND000404939452,2,03/05/2022,5B,N1,21/05/2022,RC4,20/05/2022,TRUE
400,RND000404939452,3,02/06/2022,1A,N8,,,13/07/2022,TRUE
401,RND000589802835,1,10/01/2022,4,N6,,,28/03/2022,TRUE
